rank,name,boardlife_link,players,players_min,players_max,genre,rating,shopping_link,google_link
1,브라스: 버밍엄,https://boardlife.co.kr/game/8569,2~4명,2,4,전략게임,8.479,https://search.shopping.naver.com/search/all?query=브라스: 버밍엄 보드게임,https://www.google.com/search?q=브라스: 버밍엄 보드게임
2,세티: 외계의 지성체를 찾아서,https://boardlife.co.kr/game/19110,1~4명,1,4,전략게임,8.452,https://search.shopping.naver.com/search/all?query=세티: 외계의 지성체를 찾아서 보드게임,https://www.google.com/search?q=세티: 외계의 지성체를 찾아서 보드게임
3,팬데믹 레거시: 시즌 1,https://boardlife.co.kr/game/5572,2~4명,2,4,전략게임,8.358,https://search.shopping.naver.com/search/all?query=팬데믹 레거시: 시즌 1 보드게임,https://www.google.com/search?q=팬데믹 레거시: 시즌 1 보드게임
4,글룸헤이븐,https://boardlife.co.kr/game/5625,1~4명,1,4,전략게임,8.342,https://search.shopping.naver.com/search/all?query=글룸헤이븐 보드게임,https://www.google.com/search?q=글룸헤이븐 보드게임
5,쓰루 디 에이지스: 문명에 관한 새로운 이야기,https://boardlife.co.kr/game/5660,2~4명,2,4,전략게임,8.314,https://search.shopping.naver.com/search/all?query=쓰루 디 에이지스: 문명에 관한 새로운 이야기 보드게임,https://www.google.com/search?q=쓰루 디 에이지스: 문명에 관한 새로운 이야기 보드게임
6,칸반 EV,https://boardlife.co.kr/game/12189,1~4명,1,4,전략게임,8.288,https://search.shopping.naver.com/search/all?query=칸반 EV 보드게임,https://www.google.com/search?q=칸반 EV 보드게임
7,가이아 프로젝트,https://boardlife.co.kr/game/9210,1~4명,1,4,전략게임,8.282,https://search.shopping.naver.com/search/all?query=가이아 프로젝트 보드게임,https://www.google.com/search?q=가이아 프로젝트 보드게임
8,버건디의 성,https://boardlife.co.kr/game/421,2~4명,2,4,전략게임,8.277,https://search.shopping.naver.com/search/all?query=버건디의 성 보드게임,https://www.google.com/search?q=버건디의 성 보드게임
9,아르낙의 잊혀진 유적,https://boardlife.co.kr/game/13341,1~4명,1,4,전략게임,8.243,https://search.shopping.naver.com/search/all?query=아르낙의 잊혀진 유적 보드게임,https://www.google.com/search?q=아르낙의 잊혀진 유적 보드게임
10,버라지,https://boardlife.co.kr/game/9804,1~4명,1,4,전략게임,8.235,https://search.shopping.naver.com/search/all?query=버라지 보드게임,https://www.google.com/search?q=버라지 보드게임
11,황혼의 투쟁,https://boardlife.co.kr/game/348,2명,2,2,전략게임,8.234,https://search.shopping.naver.com/search/all?query=황혼의 투쟁 보드게임,https://www.google.com/search?q=황혼의 투쟁 보드게임
12,푸에르토리코,https://boardlife.co.kr/game/90,3~5명,3,5,전략게임,8.219,https://search.shopping.naver.com/search/all?query=푸에르토리코 보드게임,https://www.google.com/search?q=푸에르토리코 보드게임
13,7 원더스 대결,https://boardlife.co.kr/game/5222,2명,2,2,전략게임,8.205,https://search.shopping.naver.com/search/all?query=7 원더스 대결 보드게임,https://www.google.com/search?q=7 원더스 대결 보드게임
14,브라스: 랭커셔,https://boardlife.co.kr/game/8567,2~4명,2,4,전략게임,8.196,https://search.shopping.naver.com/search/all?query=브라스: 랭커셔 보드게임,https://www.google.com/search?q=브라스: 랭커셔 보드게임
15,아크 노바,https://boardlife.co.kr/game/14832,1~4명,1,4,전략게임,8.195,https://search.shopping.naver.com/search/all?query=아크 노바 보드게임,https://www.google.com/search?q=아크 노바 보드게임
16,메이지 나이트,https://boardlife.co.kr/game/519,1~4명,1,4,전략게임,8.191,https://search.shopping.naver.com/search/all?query=메이지 나이트 보드게임,https://www.google.com/search?q=메이지 나이트 보드게임
17,아컴 호러: 카드 게임,https://boardlife.co.kr/game/7501,1~2명,1,2,컬렉터블 게임,8.187,https://search.shopping.naver.com/search/all?query=아컴 호러: 카드 게임 보드게임,https://www.google.com/search?q=아컴 호러: 카드 게임 보드게임
18,정령섬,https://boardlife.co.kr/game/9071,1~4명,1,4,전략게임,8.158,https://search.shopping.naver.com/search/all?query=정령섬 보드게임,https://www.google.com/search?q=정령섬 보드게임
19,"머더 미스터리 미니: 웬디, 어른이 되렴",https://boardlife.co.kr/game/16070,4~5명,4,5,정보 없음,8.150,"https://search.shopping.naver.com/search/all?query=머더 미스터리 미니: 웬디, 어른이 되렴 보드게임","https://www.google.com/search?q=머더 미스터리 미니: 웬디, 어른이 되렴 보드게임"
20,테라포밍 마스,https://boardlife.co.kr/game/6501,1~5명,1,5,전략게임,8.145,https://search.shopping.naver.com/search/all?query=테라포밍 마스 보드게임,https://www.google.com/search?q=테라포밍 마스 보드게임
21,갤럭틱 크루즈,https://boardlife.co.kr/game/17208,1~4명,1,4,전략게임,8.143,https://search.shopping.naver.com/search/all?query=갤럭틱 크루즈 보드게임,https://www.google.com/search?q=갤럭틱 크루즈 보드게임
22,헤게모니: 당신의 사회 계층을 승리로 이끄세요,https://boardlife.co.kr/game/14443,2~4명,2,4,전략게임,8.130,https://search.shopping.naver.com/search/all?query=헤게모니: 당신의 사회 계층을 승리로 이끄세요 보드게임,https://www.google.com/search?q=헤게모니: 당신의 사회 계층을 승리로 이끄세요 보드게임
23,그랜드 오스트리아 호텔,https://boardlife.co.kr/game/5603,2~4명,2,4,전략게임,8.096,https://search.shopping.naver.com/search/all?query=그랜드 오스트리아 호텔 보드게임,https://www.google.com/search?q=그랜드 오스트리아 호텔 보드게임
24,스타워즈: 리벨리온,https://boardlife.co.kr/game/5986,2~4명,2,4,테마게임,8.095,https://search.shopping.naver.com/search/all?query=스타워즈: 리벨리온 보드게임,https://www.google.com/search?q=스타워즈: 리벨리온 보드게임
25,아그리콜라,https://boardlife.co.kr/game/561,1~5명,1,5,전략게임,8.071,https://search.shopping.naver.com/search/all?query=아그리콜라 보드게임,https://www.google.com/search?q=아그리콜라 보드게임
26,리스보아,https://boardlife.co.kr/game/5963,1~4명,1,4,전략게임,8.070,https://search.shopping.naver.com/search/all?query=리스보아 보드게임,https://www.google.com/search?q=리스보아 보드게임
27,르아브르,https://boardlife.co.kr/game/395,1~5명,1,5,전략게임,8.061,https://search.shopping.naver.com/search/all?query=르아브르 보드게임,https://www.google.com/search?q=르아브르 보드게임
28,카네기,https://boardlife.co.kr/game/13512,1~4명,1,4,전략게임,8.053,https://search.shopping.naver.com/search/all?query=카네기 보드게임,https://www.google.com/search?q=카네기 보드게임
29,오딘을 위하여,https://boardlife.co.kr/game/6550,1~4명,1,4,전략게임,8.051,https://search.shopping.naver.com/search/all?query=오딘을 위하여 보드게임,https://www.google.com/search?q=오딘을 위하여 보드게임
30,클랜 오브 칼레도니아,https://boardlife.co.kr/game/8735,1~4명,1,4,전략게임,8.042,https://search.shopping.naver.com/search/all?query=클랜 오브 칼레도니아 보드게임,https://www.google.com/search?q=클랜 오브 칼레도니아 보드게임
31,엔데버: 심해,https://boardlife.co.kr/game/17007,1~5명,1,5,전략게임,8.040,https://search.shopping.naver.com/search/all?query=엔데버: 심해 보드게임,https://www.google.com/search?q=엔데버: 심해 보드게임
32,스피크이지,https://boardlife.co.kr/game/18671,1~4명,1,4,전략게임,8.027,https://search.shopping.naver.com/search/all?query=스피크이지 보드게임,https://www.google.com/search?q=스피크이지 보드게임
